Week,Questions in Stack Overflow,Projects in Github,Cases In World
2019-12-02,0,8,0
2019-12-09,0,4,0
2019-12-16,0,6,0
2019-12-23,0,4,0
2019-12-30,0,0,0
2020-01-06,0,9,41
2020-01-13,0,10,125
2020-01-20,1,133,2021
2020-01-27,3,395,14559
2020-02-03,3,379,37569
2020-02-10,3,291,69277
2020-02-17,6,269,78946
2020-02-24,3,509,87831
2020-03-02,18,1045,108994
2020-03-09,47,3019,165201
2020-03-16,100,7661,294110
2020-03-23,165,9258,638130
2020-03-30,144,7743,1136849
2020-04-06,145,7632,1699563
2020-04-13,154,6653,2243110
2020-04-20,138,5456,2796453
2020-04-27,126,4654,3356197
2020-05-04,134,4072,3951688
