"Id","topic"
"60548604","7"
"60635909","6"
"72695","1"
"61462376","1"
"61639535","6"
"60701254","6"
"60868176","6"
"61133607","6"
"59914996","2"
"59927865","3"
"59938187","3"
"59961348","3"
"60314125","4"
"60049059","6"
"60059964","6"
"60069930","2"
"60155345","6"
"60157685","6"
"60196894","1"
"60254870","1"
"60259973","6"
"60279157","4"
"60305188","6"
"60320674","1"
"60369957","3"
"60380622","6"
"60409805","3"
"60485988","6"
"60499437","6"
"60508336","6"
"60519642","6"
"60522775","4"
"60526051","6"
"60536428","6"
"60548131","6"
"60556448","1"
"60573532","2"
"60575827","5"
"60576809","3"
"60578312","1"
"60583372","6"
"60583604","6"
"60584393","7"
"60585565","1"
"60595119","6"
"60599753","5"
"60634264","6"
"60606949","3"
"60609262","6"
"60609760","6"
"60613050","3"
"60621922","3"
"60623127","4"
"60634651","6"
"60641361","7"
"60652996","1"
"60643617","6"
"60643883","1"
"60644364","3"
"60645163","3"
"60646627","4"
"69675","1"
"60648140","3"
"60680186","1"
"60648689","1"
"60649532","7"
"60682977","6"
"60658821","4"
"60683271","4"
"60659215","6"
"60673960","1"
"60678274","6"
"60682497","6"
"60682567","6"
"60683013","1"
"60689242","2"
"60685308","6"
"60685525","6"
"60685854","7"
"60685914","1"
"60694707","6"
"60694921","6"
"60686379","6"
"60686752","1"
"60688676","1"
"60689120","6"
"60689829","6"
"60691705","6"
"60692697","5"
"60693024","1"
"60704609","6"
"60712829","2"
"60712900","6"
"60700877","6"
"60702434","3"
"60702543","6"
"60702573","7"
"60703052","1"
"60710377","6"
"60713418","7"
"60714074","6"
"60722286","6"
"60715055","6"
"60720673","6"
"60723877","6"
"60726608","6"
"60726797","7"
"60727696","6"
"60728210","1"
"60728897","1"
"60730105","2"
"60730549","1"
"60731929","6"
"60732193","6"
"60733131","1"
"60733405","6"
"60733564","2"
"60734586","4"
"60736817","2"
"60738535","2"
"60740609","6"
"60742316","6"
"60744228","6"
"60747741","1"
"60745188","6"
"60749447","3"
"60745445","3"
"60745932","6"
"60746151","7"
"60746435","2"
"60749022","3"
"60749998","6"
"60750391","7"
"60752050","4"
"60760834","6"
"60755202","3"
"60761444","4"
"60755397","3"
"60756650","6"
"60757401","6"
"60761351","6"
"60762021","6"
"60765858","2"
"60763006","6"
"60763498","6"
"60763700","6"
"60765877","6"
"60767126","4"
